,Ticker,Stock Price,Market Capitalization,Number of Shares to Buy
166,ETR,109,22148348726,N/A
167,EVRG,64.02,14099875626,N/A
168,EW,70.71,43114985159,N/A
169,EXC,37.656,37144717380,N/A
170,EXPD,98.351,16475411456,N/A
171,EXPE,91.71,13985314285,N/A
172,EXR,155,20951541230,N/A
173,F,14.2,54318869331,N/A
174,FANG,164,29342188723,N/A
175,FAST,50.71,28706272156,N/A
176,FB,198.73,562218749220,N/A
177,FBHS,59.31,7537968051,N/A
178,FCX,34.87,50806338622,N/A
179,FDX,163.13,43163457987,N/A
180,FE,37.7,21892066879,N/A
181,FFIV,142.16,8261555966,N/A
182,FIS,62.25,37761371303,N/A
183,FISV,98.14,62560879379,N/A
184,FITB,36.63,25164786313,N/A
185,FLIR,58.73,7916260624,N/A
186,FLS,32.45,4188290801,N/A
187,FLT,181.34,13667013282,N/A
188,FMC,125.37,16267018115,N/A
189,FOX,28.59,15769129333,N/A
190,FOXA,29.85,15817616188,N/A
191,FRC,114.9,20336718340,N/A
192,FRT,107.68,8825867027,N/A
193,FTI,12.64,5590038776,N/A
194,FTNT,49.9,38802624561,N/A
195,FTV,65.59,23895624980,N/A
196,GD,254.84,71240242808,N/A
197,GE,85.3,92755051458,N/A
198,GILD,81.589,106656455437,N/A
199,GIS,79.38,47958857103,N/A
200,GL,114.57,11476981915,N/A
201,GLW,33.95,28127054030,N/A
202,GM,40.85,56622269021,N/A
203,GOOG,92.16,1092891740153,N/A
204,GOOGL,92.29,1076037191063,N/A
205,GPC,182.53,26035336587,N/A
206,GPN,102.22,26942162495,N/A
207,GPS,11.28,4219657011,N/A
208,GRMN,87.07,17099857920,N/A
209,GS,362.93,125324364511,N/A
210,GWW,618,30243304012,N/A
211,HAL,40.72,36537437240,N/A
212,HAS,63.6,8988495437,N/A
213,HBAN,15.97,23068143914,N/A
214,HBI,7.1,2587042745,N/A
215,HCA,218.12,63057647903,N/A
216,HD,293.8,310158064397,N/A
217,HES,154.1,47421816296,N/A
218,HIG,74.57,24213467519,N/A
219,HII,252.62,9757485045,N/A
220,HLT,129.47,35144877740,N/A
221,HOLX,75.96,19234875401,N/A
222,HON,210.73,143418160361,N/A
223,HPE,14.79,18962587144,N/A
224,HPQ,29.24,30291820043,N/A
225,HRB,41.41,6392073487,N/A
226,HRL,47.83,26829520682,N/A
227,HSIC,77.88,10106450573,N/A
228,HST,17.4,12319491382,N/A
229,HSY,233.6,34067497210,N/A
230,HUM,577.88,71899648213,N/A
231,HWM,38.29,15574284556,N/A
232,IBM,143.38,129819421713,N/A
233,ICE,97.7,54952672688,N/A
234,IDXX,395.81,32815403706,N/A
235,IEX,231.73,17546489339,N/A
236,IFF,97.35,25091295978,N/A
237,ILMN,219.77,34355671873,N/A
238,INCY,76.05,17476628516,N/A
239,INFO,110.44,47573728814,N/A
240,INTC,29.15,121863311617,N/A
241,INTU,382.56,108876311437,N/A
242,IP,33.9,12459503767,N/A
243,IPG,30.55,11789984711,N/A
244,IPGP,88.04,4331305704,N/A
245,IQV,209.63,39860176978,N/A
246,IR,55.57,22080621030,N/A
247,IRM,50.97,15030125853,N/A
248,ISRG,243.87,86545914248,N/A
249,IT,328.51,25573838649,N/A
250,ITW,222.25,67751803156,N/A
251,IVZ,16.39,7421834043,N/A
252,J,121.84,0,N/A
253,JBHT,183.8,18835400063,N/A
254,JCI,64.24,44280143752,N/A
255,JKHY,189.97,13916210856,N/A
256,JNJ,176.42,454881597199,N/A
257,JNPR,30.84,10033857926,N/A
258,JPM,133.95,397759518376,N/A
259,K,73.25,25076193413,N/A
260,KEY,19,17680397975,N/A
261,KEYS,165.66,30383721308,N/A
262,KHC,39.09,47731498504,N/A
263,KIM,22.41,13736823846,N/A
264,KLAC,350.86,49457880365,N/A
265,KMB,124.53,42724458461,N/A
266,KMI,19.14,42841542760,N/A
267,KMX,67.32,10619566729,N/A
268,KO,60.71,269613034558,N/A
269,KR,47.36,34993586115,N/A
270,KSS,26.95,3199795629,N/A
271,KSU,306.64,27450278137,N/A
272,L,55.7,13772526048,N/A
273,LB,80.27,22266229336,N/A
274,LDOS,112.96,14865069009,N/A
275,LEG,34.11,4694208393,N/A
276,LEN,79.64,22841628439,N/A
277,LH,245.04,20754918950,N/A
278,LHX,238.19,44513800507,N/A
279,LIN,317.22,160070534284,N/A
280,LKQ,53.5,14293926225,N/A
281,LLY,376.37,353668794517,N/A
282,LMT,504.2,131616884356,N/A
283,LNC,34.69,5797790240,N/A
284,LNT,54.1,13176376014,N/A
285,LOW,190.56,120696515412,N/A
286,LRCX,447.7,60309031395,N/A
287,LUV,38.3,22665511935,N/A
288,LVS,42.2,32623435672,N/A
289,LW,87.38,12624702567,N/A
290,LYB,87.59,28293852812,N/A
291,LYV,74.29,17207823966,N/A
292,MA,326.34,315575058118,N/A
293,MAA,158,18305115454,N/A
294,MAR,152.01,47871864627,N/A
295,MAS,45.77,10312786350,N/A
296,MCD,284.28,203456902572,N/A
297,MCHP,68.5,37510771026,N/A
298,MCK,409.7,56575219282,N/A
299,MCO,276.8,50191416013,N/A
300,MDLZ,65.94,91243812165,N/A
301,MDT,85.7,114179655819,N/A
302,MET,74.83,58686597243,N/A
303,MGM,34.26,13373121277,N/A
304,MHK,95.69,5812859094,N/A
305,MKC,81.05,22485107179,N/A
306,MKTX,245.12,9319518838,N/A
307,MLM,354.49,21478613540,N/A
308,MMC,167.73,83929339359,N/A
309,MMM,127.95,69003777970,N/A
310,MNST,103.3,54675759261,N/A
311,MO,48.14,82317007166,N/A
312,MOS,51.72,18631315838,N/A
313,MPC,122.9,58753135060,N/A
314,MRK,103.32,259874824773,N/A
315,MRO,33.77,23438993248,N/A
316,MS,88.9,147349003111,N/A
317,MSCI,483.19,37376409282,N/A
318,MSFT,237.54,1746787160847,N/A
319,MSI,260.44,44595026768,N/A
320,MTB,176.47,31713732074,N/A
321,MTD,1317.49,30117149420,N/A
322,MU,57.83,63818015629,N/A
323,MXIM,103.84,28411698246,N/A
324,MYL,16.035,8661106670,N/A
325,NBL,8.52,4162535833,N/A
326,NCLH,16.71,7300252565,N/A
327,NDAQ,63.837,31482946992,N/A
328,NEE,79.62,155763905699,N/A
329,NEM,43.36,33947814257,N/A
330,NFLX,268.16,114727602400,N/A
331,NI,25.25,10100938026,N/A
332,NKE,96.71,123905792966,N/A
333,NLOK,22.32,12532877507,N/A
334,NLSN,28.54,10505550055,N/A
335,NOC,549.2,85087909508,N/A
336,NOV,25.13,9803627037,N/A
337,NOW,372.7,74941834973,N/A
338,NRG,45.32,10822849492,N/A
339,NSC,236.47,54699098024,N/A
340,NTAP,71.33,15250970487,N/A
341,NTRS,88.89,17870163650,N/A
342,NUE,139.41,36551545636,N/A
343,NVDA,144.23,371375352673,N/A
344,NVR,4229.27,13855392747,N/A
345,NWL,13.27,5468439707,N/A
346,NWS,17.48,10147459486,N/A
347,NWSA,17.31,9962492957,N/A
348,O,65.83,40824767390,N/A
349,ODFL,286.82,32261017254,N/A
350,OKE,62.03,28589133621,N/A
351,OMC,74.91,15237289959,N/A
352,ORCL,77.85,211814619415,N/A
353,ORLY,855.35,54719329362,N/A
354,OTIS,77.12,31970459861,N/A
355,OXY,79.19,71350766278,N/A
356,PAYC,310.06,18106362579,N/A
357,PAYX,115.78,42903670915,N/A
358,PBCT,19.8,8425148602,N/A
359,PCAR,101.45,35530819463,N/A
360,PEAK,24.8,13066168686,N/A
361,PEG,57.35,28626184255,N/A
362,PEP,185.92,258121434134,N/A
363,PFE,47.49,273590769939,N/A
364,PFG,94.46,22716871709,N/A
365,PG,141,330528469677,N/A
366,PGR,130,77644682361,N/A
367,PH,303.28,39862020307,N/A
368,PHM,38.89,9109305336,N/A
369,PKG,125.75,11646371792,N/A
370,PKI,134.23,16699760487,N/A
371,PLD,110.37,100739082348,N/A
372,PM,93.9,145026564474,N/A
373,PNC,164,65661674478,N/A
374,PNR,43.07,7062458977,N/A
375,PNW,68.75,7941855382,N/A
376,PPG,118.81,28444421950,N/A
377,PPL,27.85,20538403116,N/A
378,PRGO,40.26,5295004754,N/A
379,PRU,104.11,38417506734,N/A
380,PSA,283.86,49126502165,N/A
381,PSX,110.61,51684097054,N/A
382,PVH,54.81,3448026228,N/A
383,PWR,151.91,21456079838,N/A
384,PXD,261.01,64907694492,N/A
385,PYPL,80.6,93536030231,N/A
386,QCOM,110.44,124672836568,N/A
387,QRVO,90.36,9316203756,N/A
388,RCL,53,13316405546,N/A
389,RE,332.91,13142960846,N/A
390,REG,66.43,11160739066,N/A
391,REGN,754.49,80980026020,N/A
392,RF,22.84,22005740901,N/A
393,RHI,78.08,8542811755,N/A
394,RJF,122,26505407120,N/A
395,RL,99.21,4374317526,N/A
396,RMD,216.98,31190245280,N/A
397,ROK,258.19,30069106501,N/A
398,ROL,41.85,21159886724,N/A
399,ROP,422.55,45266085756,N/A
400,ROST,95.03,32779329590,N/A
401,RSG,132.31,42046294159,N/A
402,RTX,99.72,142475072471,N/A
403,SBAC,290.38,30436584202,N/A
404,SBUX,91.04,104249284069,N/A
405,SCHW,83.36,145092013832,N/A
406,SEE,45.82,6489348805,N/A
407,SHW,229.12,57707729583,N/A
408,SIVB,221.16,12595733306,N/A
409,SJM,150,16364314065,N/A
410,SLB,56.62,81146220170,N/A
411,SLG,39.55,2558148284,N/A
412,SNA,236.22,12711508295,N/A
413,SNPS,294.34,43133450119,N/A
414,SO,66.3,71577076974,N/A
415,SPG,119.68,39313084658,N/A
416,SPGI,329.57,108301648653,N/A
417,SRE,157,48965533335,N/A
418,STE,169.06,16815643431,N/A
419,STT,78.3,28654450794,N/A
420,STX,55.11,11039649755,N/A
421,STZ,250.53,48244832415,N/A
422,SWK,76.86,11616343607,N/A
423,SWKS,89.46,14363154023,N/A
424,SYF,36.4,16737830017,N/A
425,SYK,217.99,81824627173,N/A
426,SYY,85.23,43871675612,N/A
427,T,18.85,131124623842,N/A
428,TAP,52.32,776980937,N/A
429,TDG,611.65,31788047448,N/A
430,TDY,425.99,19684376760,N/A
431,TEL,118.92,38546984048,N/A
432,TFC,45.84,58406711766,N/A
433,TFX,213.18,9968920980,N/A
434,TGT,163.61,74845131098,N/A
435,TIF,132.91,16161122039,N/A
436,TJX,73.3,86417730334,N/A
437,TMO,507,195010000662,N/A
438,TMUS,155.36,191201277780,N/A
439,TPR,33.02,7801030874,N/A
440,TROW,104.88,23437387838,N/A
441,TRV,184.25,44287456434,N/A
442,TSCO,214.27,24131916276,N/A
443,TSN,70.57,19775431067,N/A
444,TT,172.46,38867696075,N/A
445,TTWO,113.085,18577880485,N/A
446,TWTR,54.5,41665776454,N/A
447,TXN,173.4,155597187981,N/A
448,TXT,70,14820532505,N/A
449,TYL,292.97,12543948983,N/A
450,UA,7.53,3243301964,N/A
451,UAA,8.32,3363721479,N/A
452,UAL,44.3,14288070573,N/A
453,UDR,39.54,12653203702,N/A
454,UHS,113.79,7733572919,N/A
455,ULTA,439.45,21487446772,N/A
456,UNH,548.83,515055271284,N/A
457,UNM,45.88,9400017067,N/A
458,UNP,201.7,122916957498,N/A
459,UPS,176.26,128552125445,N/A
460,URI,336.92,22848046379,N/A
461,USB,43.73,67050974437,N/A
462,V,200.6,333674658018,N/A
463,VAR,184.18,17068579873,N/A
464,VFC,29.39,11405659225,N/A
465,VLO,132.08,52297719969,N/A
466,VMC,172.78,23200319157,N/A
467,VNO,23.29,4428585023,N/A
468,VRSK,173.44,27628893007,N/A
469,VRSN,177.92,18917542575,N/A
470,VRTX,304.32,79130910671,N/A
471,VTR,42.37,16831959914,N/A
472,VZ,38.92,156332109348,N/A
473,WAB,98.38,17785470805,N/A
474,WAT,318.84,19000357559,N/A
475,WBA,39.3,34824823460,N/A
476,WDC,37.57,11781977431,N/A
477,WEC,91.61,29764949317,N/A
478,WELL,62.37,28423838371,N/A
479,WFC,47.95,182863386114,N/A
480,WHR,139.78,7805306445,N/A
481,WM,160.55,66972910439,N/A
482,WMB,35.12,43280236840,N/A
483,WMT,147.19,394938244437,N/A
484,WRB,77.56,20326341468,N/A
485,WRK,36,8952496685,N/A
486,WST,226.52,16994529456,N/A
487,WU,13.4,5045280919,N/A
488,WY,31.72,23748397453,N/A
489,WYNN,75.82,8288862224,N/A
490,XEL,65.66,37115540078,N/A
491,XLNX,200.62,48498999555,N/A
492,XOM,114.13,473947450192,N/A
493,XRAY,29.23,6150637154,N/A
494,XRX,15.02,2317645512,N/A
495,XYL,113.91,20155186317,N/A
496,YUM,127.14,36023667026,N/A
497,ZBH,108.3,23422337266,N/A
498,ZBRA,241.7,12612685380,N/A
499,ZION,51.984,7479573949,N/A
500,ZTS,142.66,65117363643,N/A
